4234	"Excision of Abdominal Aorta, Open Approach"
4235	"Excision of Abdominal Aorta, Percutaneous Endoscopic Approach"
4236	"Replacement of Abdominal Aorta with Autologous Tissue Substitute, Open Approach"
4237	"Replacement of Abdominal Aorta with Synthetic Substitute, Open Approach"
4238	"Replacement of Abdominal Aorta with Nonautologous Tissue Substitute, Open Approach"
4239	"Replacement of Abdominal Aorta with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
4240	"Replacement of Abdominal Aorta with Synthetic Substitute, Percutaneous Endoscopic Approach"
4241	"Replacement of Abdominal Aorta with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
4242	"Detachment at Right Forequarter, Open Approach"
4243	"Detachment at Left Forequarter, Open Approach"
4244	"Detachment at Right Shoulder Region, Open Approach"
4245	"Detachment at Left Shoulder Region, Open Approach"
4246	"Detachment at Right Upper Arm, High, Open Approach"
4247	"Detachment at Right Upper Arm, Mid, Open Approach"
4248	"Detachment at Right Upper Arm, Low, Open Approach"
4249	"Detachment at Left Upper Arm, High, Open Approach"
4250	"Detachment at Left Upper Arm, Mid, Open Approach"
4251	"Detachment at Left Upper Arm, Low, Open Approach"
4252	"Detachment at Right Elbow Region, Open Approach"
4253	"Detachment at Left Elbow Region, Open Approach"
4254	"Detachment at Right Lower Arm, High, Open Approach"
4255	"Detachment at Right Lower Arm, Mid, Open Approach"
4256	"Detachment at Right Lower Arm, Low, Open Approach"
4257	"Detachment at Left Lower Arm, High, Open Approach"
4258	"Detachment at Left Lower Arm, Mid, Open Approach"
4259	"Detachment at Left Lower Arm, Low, Open Approach"
4260	"Detachment at Right Hand, Complete, Open Approach"
4261	"Detachment at Right Hand, Complete 1st Ray, Open Approach"
4262	"Detachment at Right Hand, Complete 2nd Ray, Open Approach"
4263	"Detachment at Right Hand, Complete 3rd Ray, Open Approach"
4264	"Detachment at Right Hand, Complete 4th Ray, Open Approach"
4265	"Detachment at Right Hand, Complete 5th Ray, Open Approach"
4266	"Detachment at Right Hand, Partial 1st Ray, Open Approach"
4267	"Detachment at Right Hand, Partial 2nd Ray, Open Approach"
4268	"Detachment at Right Hand, Partial 3rd Ray, Open Approach"
4269	"Detachment at Right Hand, Partial 4th Ray, Open Approach"
4270	"Detachment at Right Hand, Partial 5th Ray, Open Approach"
4271	"Detachment at Left Hand, Complete, Open Approach"
4272	"Detachment at Left Hand, Complete 1st Ray, Open Approach"
4273	"Detachment at Left Hand, Complete 2nd Ray, Open Approach"
4274	"Detachment at Left Hand, Complete 3rd Ray, Open Approach"
4275	"Detachment at Left Hand, Complete 4th Ray, Open Approach"
4276	"Detachment at Left Hand, Complete 5th Ray, Open Approach"
4277	"Detachment at Left Hand, Partial 1st Ray, Open Approach"
4278	"Detachment at Left Hand, Partial 2nd Ray, Open Approach"
4279	"Detachment at Left Hand, Partial 3rd Ray, Open Approach"
4280	"Detachment at Left Hand, Partial 4th Ray, Open Approach"
4281	"Detachment at Left Hand, Partial 5th Ray, Open Approach"
4282	"Detachment at Right Thumb, Complete, Open Approach"
